Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
120,Liguus.,Liguus,32184,32191,3.97,1,NO_ANNOT,,,Exact,0,"Liguus Montfort, 1810",Liguus,7P7GK,1,Catalogue of Life,
121,A. rhyssa.,A. rhyssa,32444,32454,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
122,Ashmunella rhyssa,Ashmunella rhyssa,33342,33359,12.14,2,NO_ANNOT,,,Exact,0,"Ashmunella rhyssa (Dall, 1897)",Ashmunella rhyssa,7Q8GN,1,Catalogue of Life,
123,Polygyra rhyssa,Polygyra rhyssa,33384,33399,10.54,2,NO_ANNOT,,,Exact,0,"Polygyra rhyssa Dall, 1897",Polygyra rhyssa,7SSF9,1,Catalogue of Life,
124,Ashmunella rhyssa,Ashmunella rhyssa,33432,33449,12.14,2,NO_ANNOT,,,Exact,0,"Ashmunella rhyssa (Dall, 1897)",Ashmunella rhyssa,7Q8GN,1,Catalogue of Life,
125,Ashmunella,Ashmunella,33783,33793,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
126,Ashmunella rhyssa miorhyssa,Ashmunella rhyssa miorhyssa,34478,34505,16.29,3,NO_ANNOT,,,Exact,0,Ashmunella rhyssa miorhyssa Dall,Ashmunella rhyssa miorhyssa,gn_140767,186,MCZbase,
127,Ashmunella rhyssa,Ashmunella rhyssa,34588,34605,12.14,2,NO_ANNOT,,,Exact,0,"Ashmunella rhyssa (Dall, 1897)",Ashmunella rhyssa,7Q8GN,1,Catalogue of Life,
128,Ashmunella rhyssa hyporhyssa,Ashmunella rhyssa hyporhyssa,35350,35378,16.45,3,NO_ANNOT,,,Exact,0,Ashmunella rhyssa hyporhyssa Cock.,Ashmunella rhyssa hyporhyssa,gn_96551,186,MCZbase,
129,Polygyra,Polygyra,35405,35413,4.77,1,NO_ANNOT,,,Exact,0,"Polygyra Say, 1818",Polygyra,7PD3F,1,Catalogue of Life,
130,Ashmunella hyporhyssa,Ashmunella hyporhyssa,35470,35491,12.90,2,NO_ANNOT,,,Exact,0,Ashmunella hyporhyssa,Ashmunella hyporhyssa,urn:lsid:marinespecies.org:taxname:1366496,9,WoRMS,
131,A.r.␤hyporhyssa,A�r. hyporhyssa,35593,35608,6.19,2,NO_ANNOT,,,NoMatch,,,,,,,,
132,Like rhyssa,Like rhyssa,35784,35795,,2,NO_ANNOT,,,NoMatch,,,,,,,,
