Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
71,Gorytes valens,Gorytes valens,14936,14950,8.75,2,SP_NOV,,,Exact,0,"Gorytes valens W. Fox, 1897",Gorytes valens,3H44W,1,Catalogue of Life,
72,Gorytes;,Gorytes,15339,15347,2.96,1,NO_ANNOT,,,Exact,0,"Gorytes Latreille, 1805",Gorytes,4QFG,1,Catalogue of Life,
73,Gorytes,Gorytes,16849,16856,2.96,1,NO_ANNOT,,,Exact,0,"Gorytes Latreille, 1805",Gorytes,4QFG,1,Catalogue of Life,
74,"G. moneduloides,",G. moneduloides,17315,17331,6.31,2,NO_ANNOT,,,NoMatch,,,,,,,,
75,Gorytes partitus,Gorytes partitus,17369,17385,10.52,2,SP_NOV,,,Exact,0,"Gorytes partitus W. Fox, 1897",Gorytes partitus,3H3YN,1,Catalogue of Life,
76,Gorytes coloratus,Gorytes coloratus,18853,18870,10.68,2,SP_NOV,,,Exact,0,"Gorytes coloratus W. Fox, 1897",Gorytes coloratus,3H3RF,1,Catalogue of Life,
77,G. violaceus,G. violaceus,20971,20983,6.59,2,NO_ANNOT,,,NoMatch,,,,,,,,
78,Bembidula discisa,Bembidula discisa,21390,21407,10.46,2,NO_ANNOT,,,Exact,0,"Bembidula discisa (Taschenberg, 1870)",Bembidula discisa,5WJ3C,1,Catalogue of Life,
79,Bembidula variegata,Bembidula variegata,21495,21514,12.91,2,NO_ANNOT,,,Exact,0,"Bembidula variegata (Olivier, 1789)",Bembidula variegata,5WJ2M,1,Catalogue of Life,
80,Monedula signata,Monedula signata,21606,21622,12.38,2,NO_ANNOT,,,Exact,0,"Monedula signata (Linnaeus, 1758)",Monedula signata,442XM,1,Catalogue of Life,
81,Monedula punctata,Monedula punctata,21661,21678,12.58,2,NO_ANNOT,,,Exact,0,"Monedula punctata (Fabricius, 1775)",Monedula punctata,442XF,1,Catalogue of Life,
82,Monedula surinamensis,Monedula surinamensis,21722,21743,12.66,2,NO_ANNOT,,,Exact,0,"Monedula surinamensis (De Geer, 1778)",Monedula surinamensis,6RNFF,1,Catalogue of Life,
83,Monedula magnifica,Monedula magnifica,21864,21882,12.26,2,NO_ANNOT,,,Exact,0,"Monedula magnifica Perty, 1833",Monedula magnifica,73NFH,1,Catalogue of Life,
84,Stizus,Stizus,21972,21978,2.87,1,NO_ANNOT,,,Exact,0,"Stizus Latreille, 1802",Stizus,7NT2,1,Catalogue of Life,
85,Trypoxylon pallitarse,Trypoxylon pallitarse,22157,22178,8.95,2,NO_ANNOT,,,PartialExact,0,"Trypoxylon Latreille, 1796",Trypoxylon,83CD,1,Catalogue of Life,
86,Trypoxylon niveitarse,Trypoxylon niveitarse,22223,22244,8.95,2,NO_ANNOT,,,Exact,0,"Trypoxylon (Trypargilum) niveitarse de Saussure, 1867",Trypoxylon niveitarse,7X4Z2,1,Catalogue of Life,
87,Trypoxylon rufosignatum,Trypoxylon rufosignatum,22316,22339,12.14,2,NO_ANNOT,,,Exact,0,"Trypoxylon rufosignatum Taschenberg, 1875",Trypoxylon rufosignatum,7X5TK,1,Catalogue of Life,
88,Trypoxylon fabricator,Trypoxylon fabricator,22381,22402,10.41,2,NO_ANNOT,,,Exact,0,"Trypoxylon (Trypoxylon) fabricator F. Smith, 1873",Trypoxylon fabricator,7X584,1,Catalogue of Life,
89,Trypoxylon superbum,Trypoxylon superbum,22501,22520,9.85,2,NO_ANNOT,,,Exact,0,"Trypoxylon (Trypargilum) superbum F. Smith, 1873",Trypoxylon superbum,7X529,1,Catalogue of Life,
90,Trypoxylon,Trypoxylon,22556,22566,4.43,1,NO_ANNOT,,,Exact,0,"Trypoxylon Latreille, 1796",Trypoxylon,83CD,1,Catalogue of Life,
91,Trypoxylon laeve,Trypoxylon laeve,22615,22631,8.38,2,SP_NOV,,,Exact,0,"Trypoxylon (Trypargilum) laeve W. Fox, 1897",Trypoxylon laeve,7X4YJ,1,Catalogue of Life,
92,Trypoxylon insolitum,Trypoxylon insolitum,24329,24349,11.82,2,SP_NOV,,,Exact,0,"Trypoxylon (Trypoxylon) insolitum W. Fox, 1897",Trypoxylon insolitum,7X59Z,1,Catalogue of Life,
93,Trypoxylon medianum,Trypoxylon medianum,26058,26077,11.40,2,SP_NOV,,,Exact,0,"Trypoxylon medianum W. Fox, 1897",Trypoxylon medianum,7X5S8,1,Catalogue of Life,
94,Trypoxylon fallax,Trypoxylon fallax,27271,27288,8.42,2,SP_NOV,,,Exact,0,"Trypoxylon fallax W. Fox, 1897",Trypoxylon fallax,7X5RK,1,Catalogue of Life,
95,Trypoxylon,Trypoxylon,28813,28823,4.43,1,NO_ANNOT,,,Exact,0,"Trypoxylon Latreille, 1796",Trypoxylon,83CD,1,Catalogue of Life,
96,Oxybelus marginatum,Oxybelus marginatum,29059,29078,13.26,2,NO_ANNOT,,,Fuzzy,1,"Oxybelus marginatus F. Smith, 1856",Oxybelus marginatus,4BCTK,1,Catalogue of Life,
97,Oxybelus americanus,Oxybelus americanus,29116,29135,13.11,2,NO_ANNOT,,,Exact,0,"Oxybelus americanus Spinola, 1842",Oxybelus americanus,4BCM8,1,Catalogue of Life,
98,Crabro pugnans,Crabro pugnans,29211,29225,8.46,2,NO_ANNOT,,,Exact,0,"Crabro pugnans F. Smith, 1873",Crabro pugnans,Z3XK,1,Catalogue of Life,
99,Crossocerus.,Crossocerus,29290,29302,5.72,1,NO_ANNOT,,,Exact,0,"Crossocerus Lepeletier de Saint Fargeau & Brullé, 1835",Crossocerus,3W6F,1,Catalogue of Life,
100,Crabro carinatus,Crabro carinatus,29303,29319,10.99,2,NO_ANNOT,,,Exact,0,"Crabro carinatus F. Smith, 1873",Crabro carinatus,Z3DT,1,Catalogue of Life,
101,Solenius,Solenius,29409,29417,4.81,1,NO_ANNOT,,,Exact,0,"Solenius Lepeletier de Saint Fargeau & Brullé, 1835",Solenius,644DY,1,Catalogue of Life,
102,Crabro verticalis,Crabro verticalis,29459,29476,10.69,2,NO_ANNOT,,,Exact,0,"Crabro verticalis F. Smith, 1873",Crabro verticalis,Z46P,1,Catalogue of Life,
103,Crossocerus,Crossocerus,29590,29601,5.72,1,NO_ANNOT,,,Exact,0,"Crossocerus Lepeletier de Saint Fargeau & Brullé, 1835",Crossocerus,3W6F,1,Catalogue of Life,
104,Crabro,Crabro,29609,29615,3.27,1,NO_ANNOT,,,Exact,0,"Crabro Fabricius, 1775",Crabro,3V4L,1,Catalogue of Life,
105,Crabro productus,Crabro productus,29777,29793,10.99,2,SP_NOV,,,Exact,0,"Crabro productus W. Fox, 1897",Crabro productus,Z3X6,1,Catalogue of Life,
106,Solenius,Solenius,32355,32363,4.81,1,NO_ANNOT,,,Exact,0,"Solenius Lepeletier de Saint Fargeau & Brullé, 1835",Solenius,644DY,1,Catalogue of Life,
