Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
138,June astori,June astori,72581,72592,,2,NO_ANNOT,,,NoMatch,,,,,,,,
139,Iay corvallisensis,Iay corvallisensis,72730,72748,2.94,2,NO_ANNOT,,,NoMatch,,,,,,,,
140,June oregonica,June oregonica,72880,72894,0.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
141,Nomada ultima taraxacella,Nomada ultima taraxacella,73019,73044,10.24,3,SUBSP_NOV,,,Exact,0,"Nomada ultima taraxacella Cockerell, 1903",Nomada ultima taraxacella,'25880250',7,Union 4,
142,Taraxacum taraxacum,Taraxacum taraxacum,73383,73402,11.36,2,NO_ANNOT,,,Exact,0,Taraxacum taraxacum H.Karst.,Taraxacum taraxacum,254946-1,167,IPNI,
143,Fallugia acwninata,Fallugia acwninata,73455,73473,7.01,2,NO_ANNOT,,,PartialExact,0,Fallugia Endl.,Fallugia,62SYJ,1,Catalogue of Life,
144,F. paradoxa acuminata,F. paradoxa acuminata,73474,73495,11.34,3,NO_ANNOT,,,NoMatch,,,,,,,,
145,Nomada americana,Nomada americana,73621,73637,5.70,2,NO_ANNOT,,,Exact,0,Nomada americana,Nomada americana,75841,183,Sherborn Index Animalium,
146,N. scita.,N. scita,74104,74113,4.94,2,NO_ANNOT,,,NoMatch,,,,,,,,
147,Now scita,Now scita,74114,74123,,2,NO_ANNOT,,,NoMatch,,,,,,,,
148,Nomada martinella,Nomada martinella,74621,74638,9.33,2,SP_NOV,,,Exact,0,"Nomada martinella Cockerell, 1903",Nomada martinella,73Z9G,1,Catalogue of Life,
149,A.␤incerta  americana,A. incerta americana,74716,74737,8.03,3,NO_ANNOT,,,NoMatch,,,,,,,,
150,Mesilla,Mesilla,74920,74927,5.79,1,NO_ANNOT,,,Exact,0,Mesilla,Mesilla,5PLJ,1,Catalogue of Life,
151,A.␤martinella,A. martinella,75473,75486,6.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
152,N. ultima taraxacella,N. ultima taraxacella,76064,76085,7.80,3,NO_ANNOT,,,NoMatch,,,,,,,,
153,Centrias,Centrias,76099,76107,5.33,1,NO_ANNOT,,,Exact,0,"Centrias Robertson, 1903",Centrias,urn:lsid:irmng.org:taxname:1445876,181,IRMNG,
154,Nomada scitiformis,Nomada scitiformis,76247,76265,9.31,2,SP_NOV,,,Exact,0,"Nomada scitiformis Cockerell, 1903",Nomada scitiformis,47NHJ,1,Catalogue of Life,
155,N. scitiformis,N. scitiformis,76476,76490,6.88,2,NO_ANNOT,,,NoMatch,,,,,,,,
156,N. scitiformis,N. scitiformis,77172,77186,6.88,2,NO_ANNOT,,,NoMatch,,,,,,,,
157,N. scita,N. scita,77196,77204,4.94,2,NO_ANNOT,,,NoMatch,,,,,,,,
158,Centrias,Centrias,77215,77223,5.33,1,NO_ANNOT,,,Exact,0,"Centrias Robertson, 1903",Centrias,urn:lsid:irmng.org:taxname:1445876,181,IRMNG,
159,N. scitiformis,N. scitiformis,77330,77344,6.88,2,NO_ANNOT,,,NoMatch,,,,,,,,
160,N. scita,N. scita,77395,77403,4.94,2,NO_ANNOT,,,NoMatch,,,,,,,,
