Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
101,Trypoxylon,Trypoxylon,27800,27810,4.43,1,NO_ANNOT,,,Exact,0,"Trypoxylon Latreille, 1796",Trypoxylon,83CD,1,Catalogue of Life,
102,Oxybelus marginatum,Oxybelus marginatum,28041,28060,13.26,2,NO_ANNOT,,,Fuzzy,1,"Oxybelus marginatus F. Smith, 1856",Oxybelus marginatus,4BCTK,1,Catalogue of Life,
103,Oxybelus americanus,Oxybelus americanus,28098,28117,13.11,2,NO_ANNOT,,,Exact,0,"Oxybelus americanus Spinola, 1842",Oxybelus americanus,4BCM8,1,Catalogue of Life,
104,Crabro pugnans,Crabro pugnans,28186,28200,8.46,2,NO_ANNOT,,,Exact,0,"Crabro pugnans F. Smith, 1873",Crabro pugnans,Z3XK,1,Catalogue of Life,
105,Crossocerus.,Crossocerus,28263,28275,5.72,1,NO_ANNOT,,,Exact,0,"Crossocerus Lepeletier de Saint Fargeau & Brullé, 1835",Crossocerus,3W6F,1,Catalogue of Life,
106,Crabro carinatus,Crabro carinatus,28276,28292,10.99,2,NO_ANNOT,,,Exact,0,"Crabro carinatus F. Smith, 1873",Crabro carinatus,Z3DT,1,Catalogue of Life,
107,Solenius,Solenius,28377,28385,4.81,1,NO_ANNOT,,,Exact,0,"Solenius Lepeletier de Saint Fargeau & Brullé, 1835",Solenius,644DY,1,Catalogue of Life,
108,Crabro verticalis,Crabro verticalis,28426,28443,10.69,2,NO_ANNOT,,,Exact,0,"Crabro verticalis F. Smith, 1873",Crabro verticalis,Z46P,1,Catalogue of Life,
109,Crossocerus,Crossocerus,28551,28562,5.72,1,NO_ANNOT,,,Exact,0,"Crossocerus Lepeletier de Saint Fargeau & Brullé, 1835",Crossocerus,3W6F,1,Catalogue of Life,
110,Crabro,Crabro,28570,28576,3.27,1,NO_ANNOT,,,Exact,0,"Crabro Fabricius, 1775",Crabro,3V4L,1,Catalogue of Life,
111,Crabro productus,Crabro productus,28734,28750,10.99,2,SP_NOV,,,Exact,0,"Crabro productus W. Fox, 1897",Crabro productus,Z3X6,1,Catalogue of Life,
112,Solenius,Solenius,31225,31233,4.81,1,NO_ANNOT,,,Exact,0,"Solenius Lepeletier de Saint Fargeau & Brullé, 1835",Solenius,644DY,1,Catalogue of Life,
113,Crabro,Crabro,31300,31306,3.27,1,NO_ANNOT,,,Exact,0,"Crabro Fabricius, 1775",Crabro,3V4L,1,Catalogue of Life,
114,SYNIDOTEA.,Synidotea,31392,31402,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
115,Synidotea,Synidotea,31532,31541,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
116,Synidotea,Synidotea,32599,32608,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
117,Idotea bieuspida,Idotea bieuspida,32653,32669,6.41,2,NO_ANNOT,,,Fuzzy,1,"Idotea bicuspida Owen, 1839",Idotea bicuspida,6N5D8,1,Catalogue of Life,
118,SYNIDOTEA,Synidotea,34383,34392,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
119,Synidotea,Synidotea,34401,34410,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
120,Edotia,Edotia,34464,34470,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
121,Synidotea,Synidotea,34525,34534,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
122,Synidotea,Synidotea,34602,34611,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
123,Edotia,Edotia,35073,35079,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
124,Edotia,Edotia,35110,35116,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
125,Synidotea.,Synidotea,35245,35255,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
126,Edotia.,Edotia,35338,35345,4.58,1,NO_ANNOT,,,Exact,0,"Edotia Guérin-Méneville, 1843",Edotia,7NY67,1,Catalogue of Life,
127,Epelys.,Epelys,35419,35426,3.27,1,NO_ANNOT,,,Exact,0,"Epelys Dana, 1849",Epelys,urn:lsid:marinespecies.org:taxname:325468,9,WoRMS,
128,Synidotea,Synidotea,35501,35510,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
129,Synidotea bicuspida,Synidotea bicuspida,36792,36811,12.15,2,NO_ANNOT,,,Exact,0,"Synidotea bicuspida (Owen, 1839)",Synidotea bicuspida,53X99,1,Catalogue of Life,
130,Idotea bicuspida,Idotea bicuspida,36826,36842,11.44,2,NO_ANNOT,,,Exact,0,"Idotea bicuspida Owen, 1839",Idotea bicuspida,6N5D8,1,Catalogue of Life,
